run_id,city,city_slug,n_cells,official_total,hotspot_threshold_p90,n_priority_cells,n_high_value_high_confidence,n_high_value_low_confidence,n_medium_value_high_confidence,n_low_value_high_uncertainty,share_priority_cells,share_high_value_high_confidence,share_high_value_low_confidence,share_low_value_high_uncertainty,mean_p50_priority_cells,median_p50_priority_cells,mean_confidence_priority_cells,median_relative_uncertainty_priority_cells,osm_completeness_score,osm_completeness_label,external_agreement_score,internal_support_score,district_support_flag,interpretation_note
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,3078,2351424.0,1575.9969115161293,842,212,0,310,320,0.27355425601039635,0.06887589343729694,0.0,0.10396361273554255,1030.0191163800496,1479.9744290655294,0.6087915937080366,0.059553524045848155,75.827,good,0.5,0.674277864135949,strong,"Almaty has a stronger high-confidence hotspot signal for planning-screening, while remaining bounded by proxy-surface uncertainty."
city1_v3_rf500m_e20_20260618T040646Z,Astana,astana,3473,1649242.0,1635.2521579319175,712,0,4,0,708,0.20501007774258567,0.0,0.001151742009789807,0.20385833573279585,9.81407974108065,0.0020276488048917,0.32769005699463,0.423194965090475,65.014,moderate,0.5,0.1,mixed,"Astana contains high-value hotspot candidates, but the current confidence layer indicates that local verification is needed before strong interpretation."
city1_v3_rf500m_e20_20260618T040646Z,Semey,semey,1033,315382.0,617.1791650451117,169,4,19,10,136,0.16360116166505323,0.003872216844143272,0.018393030009680542,0.13165537270087124,155.42511835135636,0.0014617755335212,0.39733882342204957,0.5908668460677323,74.102,good,0.5,0.5,not_available,"Semey contains high-value hotspot candidates, but the current confidence layer indicates that local verification is needed before strong interpretation."
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,4939,1298279.0,813.5265241324829,1256,0,89,0,1167,0.25430249038266856,0.0,0.018019842073294188,0.23628264830937437,76.00749232613667,0.0015709222974663,0.3234581443297257,0.31170606224093067,65.541,moderate,0.5,0.1,mixed,"Shymkent contains high-value hotspot candidates, but the current confidence layer indicates that local verification is needed before strong interpretation."
