run_id,city,city_slug,cell_id,hotspot_rank,p50,p10,p90,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,caution_reason,recommended_action
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z4629,3731,0.0014437430520107,0.0012315643439944,0.0017297675244462,0.3450774566553904,0.2788898692364356,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z1503,3733,0.0014428458959959,0.0012624010152965,0.0018100437366345,0.3795573199173184,0.2788525,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z1198,3734,0.0014421678445832,0.0011880841279167,0.0016277966722869,0.3048969272347482,0.3254611822637071,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z2354,3736,0.0014420558213044,0.0012834671114941,0.0016806647276016,0.2754384471387217,0.3596050852346542,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z4591,3738,0.0014418168132006,0.0010150016721755,0.0018645104611798,0.5891932880977293,0.2788525,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; wide prediction interval; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z557,3742,0.0014407306334549,0.0012759376005199,0.0016607495773081,0.2670950196049976,0.3692755495365456,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z2510,3743,0.00144066630674,0.0013136739474859,0.001666309971502,0.244772868197367,0.395148078237296,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z659,3746,0.0014399013782679,0.0013126408862743,0.001659481160023,0.2408777982877583,0.3996626658407709,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z566,3747,0.0014397049298834,0.0012094933056236,0.0016772209014978,0.3248774010324957,0.3023027790996599,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z548,3748,0.0014395832906315,0.0012712011349879,0.0016301178720772,0.2493198826528604,0.3898778531656093,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z1256,3748,0.0014395832906315,0.0012712011349879,0.0016317754548341,0.250471314992834,0.388543283494482,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z1112,3749,0.001438696595271,0.0012887152969135,0.0016862294559456,0.2763015915507518,0.358604656191533,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,shymkent,Z186,3752,0.0014377539545376,0.0013175853553815,0.0017013342234726,0.2669085811796562,0.3694916413201055,low,low_value_high_uncertainty,low-value cell with high uncertainty; low confidence score; moderate or weak OSM support,use only for preliminary screening and avoid definitive prioritization
