run_id,city,city_slug,cell_id,hotspot_rank,p50,p10,p90,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,stability_reason,planning_use_case
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1014,31,1834.7313636515976,1798.3099722998727,1894.8777272408536,0.0526331848106556,0.7285329208539659,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z901,32,1830.248459478232,1798.190949812004,1890.952191139692,0.0506823217620039,0.730837500486895,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1007,33,1828.4926734667956,1792.9837954005402,1927.4138601864183,0.0735196081103243,0.7038595201381042,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z905,35,1824.797933367464,1801.0787165604272,1870.729888775823,0.0381692520260927,0.7456193508472942,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z846,36,1821.951517668637,1804.1083880029348,1865.2157733235344,0.0335395232683208,0.7510885090275782,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1076,37,1821.8048642637305,1802.4506416061956,1851.5990594485083,0.0269778716735263,0.7588398725249754,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1615,38,1819.5992605722715,1804.4079023254756,1847.2534075668727,0.0235466710554293,0.7628931939851491,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1405,39,1819.0674558459305,1813.3007214822196,1848.424697510056,0.0193087814940337,0.7678994674785883,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z1339,40,1816.6411705973007,1772.3265222086184,1870.151331830452,0.0538492748073464,0.7270963380860883,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,Z400,41,1816.297375768677,1788.4656680769397,1864.127162898136,0.0416569972685093,0.74149923249451,high,high_value_high_confidence,high confidence score; narrower uncertainty interval; strong OSM completeness context; high p50 with acceptable uncertainty,service-planning screening; infrastructure prioritization screening
