run_id,city,city_slug,hotspot_rank,cell_id,centroid_latitude,centroid_longitude,p10,p50,p90,uncertainty_width,relative_uncertainty,confidence_score,confidence_band,hotspot_priority_class,planning_interpretation,verification_need
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,10,Z1406,43.2476821795118,76.94029709454135,1826.910408500963,1873.0060916404132,1889.4802946614377,62.569886160474645,0.0334061306259152,0.751246087473222,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,11,Z1481,43.2655765249862,76.94702627196736,1836.220699572425,1871.993978851285,1894.913426369736,58.69272679731076,0.0313530531937535,0.7536714142732023,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,12,Z1340,43.261285780933335,76.93456890796047,1865.9880211293432,1871.4983226146005,1908.635299799484,42.647278670140736,0.0227877728528016,0.7637896902012474,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,13,Z1013,43.2303034215508,76.90280250915286,1804.8630078633896,1870.8035897841528,1920.5089699491257,115.64596208573612,0.0618161963753121,0.7176849110792738,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,14,Z1620,43.25186706527538,76.95890799894406,1836.1174498260043,1869.3427124474872,1909.3293493650535,73.21189953904921,0.0391645143779946,0.7444436346189308,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,16,Z1409,43.26118145192816,76.94072588236077,1799.9400413837775,1862.0924561736167,1933.825372939808,133.88533155602988,0.0719004747117383,0.7057722232650383,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,17,Z1477,43.24757756839072,76.94645267771443,1823.3946591124263,1860.8522793475563,1936.31549560513,112.92083649270356,0.0606823216146395,0.7190243719304823,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,18,Z1548,43.25197235489364,76.95275202938912,1841.8383548700608,1859.002964497727,1906.788411669768,64.95005679970696,0.0349381136233182,0.7494363362370968,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,19,Z1479,43.25657705455893,76.94673940866791,1826.4270073284265,1858.1901517289184,1890.0309603472156,63.603953018789056,0.0342289797196535,0.7502740452462118,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,20,Z951,43.22140585950109,76.89636940643064,1786.3453961145765,1858.0460617150584,1877.8884160982343,91.54301998365804,0.0492684341200668,0.732507744159361,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,21,Z1619,43.24736735308527,76.95876374475115,1818.3394385378328,1854.088780259489,1912.9326628781707,94.59322434033832,0.0510187135305891,0.7304401165602773,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,almaty,22,Z1551,43.26547151720838,76.95318363322583,1844.9157178474595,1852.9511202423564,1902.131513073682,57.21579522622249,0.0308781999704012,0.7542323644987574,high,high_value_high_confidence,Strong planning-screening candidate.,Optional local verification before operational use.
