ablation_name,description,feature_count,feature_columns,validation_protocol,mean_raw_mae,mean_raw_rmse,mean_raw_r2,mean_calibrated_mae,mean_calibrated_rmse,mean_calibrated_r2,median_calibrated_rmse,median_calibrated_r2,calibration_rmse_gain,calibration_r2_gain,delta_vs_full_calibrated_rmse,delta_vs_full_calibrated_r2,is_selected_non_full_winner,display_order
full_features,All frozen City1 v2 model features.,17,Building_Count|Building_Area|Residential_Area|Commercial_Area|Retail_Area|Public_Area|Road_Length|Bus_Stop_Count|Park_Area|Building_With_Levels_Count|Mean_Building_Levels|Total_Floor_Area|Schools_Count|Hospitals_Count|Parks_Shops_Count|POI_Access_Index|Combined_Index,leave_one_city_out,169.28590952507898,251.75590197788551,0.5302982011192612,66.59169452631158,115.9344583818785,0.9341352569817848,88.28825381291665,0.9408486874740556,135.821443596007,0.4038370558625237,0.0,0.0,False,0
built_form_only,"Built form and morphology only, without Combined_Index.",9,Building_Count|Building_Area|Residential_Area|Commercial_Area|Retail_Area|Public_Area|Building_With_Levels_Count|Mean_Building_Levels|Total_Floor_Area,leave_one_city_out,174.7156993030806,258.9986269662761,0.458998840008964,73.38754781527118,120.65633994736208,0.928573546662737,93.41628892988793,0.9294409793153542,138.34228701891402,0.4695747066537729,4.721881565483585,-0.0055617103190479,True,1
transport_only,Transport intensity only.,2,Road_Length|Bus_Stop_Count,leave_one_city_out,253.2047725983652,379.9415027951835,0.0895289751260914,214.14206400678307,330.041287661001,0.389257192051203,287.71880878580885,0.4449456529912829,49.90021513418253,0.2997282169251115,214.10682927912248,-0.5448780649305819,False,2
poi_services_only,"POI and service access only, without Combined_Index.",5,Park_Area|Schools_Count|Hospitals_Count|Parks_Shops_Count|POI_Access_Index,leave_one_city_out,283.45286759316286,406.7496733388139,-0.1852755145890599,268.1967884581688,413.7852773571557,-0.3146428948835535,434.55424054643873,0.1245631287586723,-7.035604018341758,-0.1293673802944936,297.8508189752772,-1.2487781518653385,False,3
