run_id,city,n_districts_compared,n_districts_covered,district_interval_coverage_rate,mean_absolute_error_p50,median_absolute_error_p50,mean_relative_error_p50,median_relative_error_p50,mean_relative_interval_width,interpretation_note
city1_v3_rf500m_e20_20260618T040646Z,Almaty,6,,,94209.08837614198,79967.20540818162,0.37690695514223593,0.34672605714745064,,Only partial district p50 comparison could be carried forward from v2. District interval coverage remains blocked until frozen district assignment artifacts are available offline.
city1_v3_rf500m_e20_20260618T040646Z,Astana,5,,,169626.3295288148,89499.26546083234,0.8318629924397696,0.42119283477261205,,Only partial district p50 comparison could be carried forward from v2. District interval coverage remains blocked until frozen district assignment artifacts are available offline.
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,3,,,108862.19810263597,132359.52897868503,0.42697740072416906,0.5041768395461212,,Only partial district p50 comparison could be carried forward from v2. District interval coverage remains blocked until frozen district assignment artifacts are available offline.
