run_id,city,benchmark_product,n_cells_or_summary_units,disagreement_metric,uncertainty_metric,pearson_disagreement_vs_uncertainty,spearman_disagreement_vs_uncertainty,mean_uncertainty_high_disagreement,mean_uncertainty_low_disagreement,interpretation_note
city1_v3_rf500m_e20_20260618T040646Z,Almaty,worldpop,3078,absolute_difference_to_worldpop,relative_uncertainty,-0.07812215413392148,-0.2993790768002005,0.14959766899529847,0.328428458446338,Disagreement alignment is weak or mixed for this benchmark and should be interpreted cautiously.
city1_v3_rf500m_e20_20260618T040646Z,Almaty,ghs_pop,3078,absolute_difference_to_ghs_pop,relative_uncertainty,-0.11734579789373445,-0.49449955833556253,0.09265713032162837,0.3299376439617986,Disagreement alignment is weak or mixed for this benchmark and should be interpreted cautiously.
city1_v3_rf500m_e20_20260618T040646Z,Astana,worldpop,3473,absolute_difference_to_worldpop,relative_uncertainty,-0.07090374057798213,-0.18788636768157996,0.2594799403290437,0.41810549123223434,Disagreement alignment is weak or mixed for this benchmark and should be interpreted cautiously.
city1_v3_rf500m_e20_20260618T040646Z,Astana,ghs_pop,3473,absolute_difference_to_ghs_pop,relative_uncertainty,-0.11083596156980377,-0.25087621370189744,0.16990474698866406,0.4169706035084345,Disagreement alignment is weak or mixed for this benchmark and should be interpreted cautiously.
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,worldpop,4939,absolute_difference_to_worldpop,relative_uncertainty,-0.12157906238570841,-0.421958213181862,0.11584787605966972,0.194193101142043,Disagreement alignment is weak or mixed for this benchmark and should be interpreted cautiously.
city1_v3_rf500m_e20_20260618T040646Z,Shymkent,ghs_pop,4939,absolute_difference_to_ghs_pop,relative_uncertainty,-0.12059464685005263,-0.45094784398166216,0.11401508585816099,0.2150940828529147,Disagreement alignment is weak or mixed for this benchmark and should be interpreted cautiously.
