run_id,model_version,city,city_slug,cell_id,centroid_latitude,centroid_longitude,official_city_total,calibrated_member_count,p10,p50,p90,population_estimate_final,uncertainty_width,relative_uncertainty,model_stability_score,osm_completeness_score,osm_completeness_label,osm_support_score,external_agreement_score,internal_support_score,confidence_score,confidence_band,hotspot_rank,hotspot_priority_class,district_support_flag
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z1,43.3061049433796,76.7473617731862,2351424,20,0.0015434473020824904,0.0017759412514494343,0.00202367364947355,0.0017759412514494343,0.00048022634739105954,0.27040666294514126,0.20141282026129803,75.827,good,0.75827,0.5,0.674277864135949,0.4712743077249115,medium,2651,not_priority,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z2,43.30966854274023,76.74635489505309,2351424,20,0.0014507090613823674,0.001639620789216781,0.0019033501491846315,0.001639620789216781,0.00045264108780226426,0.27606449660746446,0.1847036409141085,75.827,good,0.75827,0.5,0.674277864135949,0.4645906359860358,medium,2833,not_priority,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z3,43.31379680514456,76.74551531086689,2351424,20,0.0012940781221285524,0.001440762404622138,0.0015910479845011871,0.001440762404622138,0.0002969698623726347,0.20611994137265094,0.39126964966064426,75.827,good,0.75827,0.5,0.674277864135949,0.5472170394846501,medium,2998,not_priority,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z4,43.31621713931011,76.74761531109925,2351424,20,0.0016305164117189589,0.0019298577220887075,0.002162298938691867,0.0019298577220887075,0.0005317825269729079,0.27555530176460546,0.18620743697100806,75.827,good,0.75827,0.5,0.674277864135949,0.4651921544087956,medium,2434,not_priority,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z5,43.30091698476703,76.75338637918385,2351424,20,0.0019069562622823118,0.0020767985009428305,0.002156625331556721,0.0020767985009428305,0.0002496690692744093,0.1202182441681578,0.6449616014718367,75.827,good,0.75827,0.5,0.674277864135949,0.648693820209127,medium,2227,not_priority,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z6,43.30510739855695,76.75111817631068,2351424,20,0.0015314114340045373,0.00190597835894058,0.0022362557189320805,0.00190597835894058,0.0007048442849275435,0.3698070765710711,0.0,75.827,good,0.75827,0.5,0.674277864135949,0.3907091796203923,low,2467,low_value_high_uncertainty,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z7,43.30926376485774,76.75113568637096,2351424,20,0.0012963225684541294,0.0015210701326084852,0.0018996738457822495,0.0015210701326084852,0.0006033512773281202,0.396662365786798,0.0,75.827,good,0.75827,0.5,0.674277864135949,0.3907091796203923,low,2956,low_value_high_uncertainty,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z8,43.313763957344165,76.75126493369703,2351424,20,0.0013579765569275005,0.0017394850890967185,0.0019407649954807163,0.0017394850890967185,0.0005827884385532157,0.33503502973736127,0.010547016121745356,75.827,good,0.75827,0.5,0.674277864135949,0.3949279860690905,low,2701,low_value_high_uncertainty,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z9,43.31657503774864,76.75178316634151,2351424,20,0.0012614318388271932,0.0016590117271091714,0.0019029289306103363,0.0016590117271091714,0.0006414970917831431,0.38667423581203497,0.0,75.827,good,0.75827,0.5,0.674277864135949,0.3907091796203923,low,2808,low_value_high_uncertainty,strong
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Almaty,almaty,Z10,43.29699372528359,76.75755786621771,2351424,20,0.001964431053785304,0.002233763559026043,0.0023381563478218504,0.002233763559026043,0.00037372529403654646,0.16730745406174355,0.5058938768992676,75.827,good,0.75827,0.5,0.674277864135949,0.5930667303800994,medium,2090,not_priority,strong
