run_id,model_version,city,city_slug,cell_id,centroid_latitude,centroid_longitude,official_city_total,calibrated_member_count,p10,p50,p90,population_estimate_final,uncertainty_width,relative_uncertainty,model_stability_score,osm_completeness_score,osm_completeness_label,osm_support_score,external_agreement_score,internal_support_score,confidence_score,confidence_band,hotspot_rank,hotspot_priority_class,district_support_flag
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z1,50.39390266961095,80.1138290309367,315382,20,0.0010237058148747384,0.001134983679176628,0.0013157382652323382,0.001134983679176628,0.00029203245035759986,0.2573010129709128,0.5576935090743098,74.102,good,0.74102,0.5,0.5,0.5833324036297239,medium,945,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z2,50.39676427575588,80.11267530729997,315382,20,337.97459225945704,361.8655414971591,494.85183966740806,361.8655414971591,156.87724740795105,0.43352358657554757,0.25476276172520573,74.102,good,0.74102,0.5,0.5,0.46216010469008234,medium,539,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z3,50.40112786715601,80.11373546620833,315382,20,0.001268566183987378,0.0015075828684749464,0.001721189626970073,0.0015075828684749464,0.00045262344298269516,0.3002312194224944,0.48389547481448725,74.102,good,0.74102,0.5,0.5,0.5538131899257949,medium,743,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z4,50.40616679967992,80.11277734844755,315382,20,41.494027972780366,51.96915161935581,71.00222519264052,51.96915161935581,29.50819721986016,0.5678021730273906,0.023934714473441754,74.102,good,0.74102,0.5,0.5,0.3698288857893767,low,636,low_value_high_uncertainty,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z5,50.41016181923982,80.11208478189437,315382,20,42.3411906145781,45.46810067044293,65.23799828310506,45.46810067044293,22.89680766852695,0.503579593845038,0.1343348380810191,74.102,good,0.74102,0.5,0.5,0.41398893523240765,medium,662,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z6,50.41502106371013,80.112896908318,315382,20,0.001091953242042981,0.0013157939843608014,0.0017992530655576411,0.0013157939843608014,0.00070729982351466,0.5375460231019817,0.07594574757396833,74.102,good,0.74102,0.5,0.5,0.3906332990295874,low,832,low_value_high_uncertainty,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z7,50.419459587779016,80.11204566991904,315382,20,0.0010866371382144595,0.001480652484047842,0.0018987676368151486,0.001480652484047842,0.000812130498600689,0.5484950097003639,0.057124182180169014,74.102,good,0.74102,0.5,0.5,0.3831046728720676,low,753,low_value_high_uncertainty,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z8,50.42377703981281,80.11174259734412,315382,20,0.0009628711329335839,0.0010678039578132026,0.001176960053142332,0.0010678039578132026,0.00021408892020874818,0.2004945932652181,0.655345080173714,74.102,good,0.74102,0.5,0.5,0.6223930320694856,medium,972,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z9,50.42822562318479,80.11241945324157,315382,20,0.0009550320977383503,0.0010498025179086845,0.0011468600757349662,0.0010498025179086845,0.00019182797799661603,0.18272767946752239,0.6858868227253704,74.102,good,0.74102,0.5,0.5,0.6346097290901481,medium,978,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z10,50.43064168992456,80.11322340265788,315382,20,0.0009331977462740972,0.0009751846423911415,0.0010916240822296957,0.0009751846423911415,0.00015842633595559869,0.16245778396093188,0.7207312496844045,74.102,good,0.74102,0.5,0.5,0.6485474998737618,medium,1011,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z11,50.38988271937871,80.12156048207534,315382,20,0.0011787461243456334,0.0015346537541713428,0.001909422383890008,0.0015346537541713428,0.0007306762595443745,0.47611798919353837,0.18154198215070272,74.102,good,0.74102,0.5,0.5,0.43287179286028116,medium,733,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z12,50.3927306132761,80.11925488669715,315382,20,331.8423481267409,369.895221207759,504.90024159178887,369.895221207759,173.05789346504795,0.46785652677531225,0.195743630290087,74.102,good,0.74102,0.5,0.5,0.43855245211603483,medium,530,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z13,50.39693026373824,80.1187851121335,315382,20,0.0013866407925503142,0.0016167997137498211,0.0020595934410734284,0.0016167997137498211,0.0006729526485231139,0.41622511607349566,0.2844992392376712,74.102,good,0.74102,0.5,0.5,0.4740546956950685,medium,714,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z14,50.40142644739239,80.11870174218906,315382,20,419.2690385517916,476.0933636160224,581.1154002456983,476.0933636160224,161.84636169390666,0.3399466870629152,0.41562365215558006,74.102,good,0.74102,0.5,0.5,0.526504460862232,medium,410,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z15,50.40592262745195,80.11861835105576,315382,20,461.33491885589655,492.60695080257557,591.359236476567,492.60695080257557,130.02431762067053,0.2639514473127704,0.5462612560764901,74.102,good,0.74102,0.5,0.5,0.578759502430596,medium,377,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z16,50.41041880391696,80.11853493872655,315382,20,42.87206186360207,51.684449403609975,73.41068947346038,51.684449403609975,30.538627609858313,0.5908668460677323,0.0,74.102,good,0.74102,0.5,0.5,0.36025500000000005,low,637,low_value_high_uncertainty,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z17,50.41491497678753,80.11845150519441,315382,20,0.001083695118685885,0.0013332353537434585,0.00160287002271714,0.0013332353537434585,0.0005191749040312549,0.38940979368234985,0.3305954089065003,74.102,good,0.74102,0.5,0.5,0.49249316356260014,medium,824,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z18,50.41941114606372,80.1183680504523,315382,20,0.001050042960990489,0.001125549372353212,0.0014618700222336699,0.001125549372353212,0.00041182706124318096,0.36588982354649147,0.37102679056858723,74.102,good,0.74102,0.5,0.5,0.5086657162274348,medium,948,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z19,50.4239073117456,80.11828457449316,315382,20,0.0009636619347783925,0.0011388235043742487,0.0015904945392510948,0.0011388235043742487,0.0006268326044727023,0.5504212040452476,0.05381300881287743,74.102,good,0.74102,0.5,0.5,0.381780203525151,low,942,low_value_high_uncertainty,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z20,50.42840347383324,80.11820107730996,315382,20,0.001032279009487759,0.0016615477913420088,0.0018822851264798704,0.0016615477913420088,0.0008500061169921115,0.5115748830225181,0.12059074800070857,74.102,good,0.74102,0.5,0.5,0.40849129920028343,medium,706,not_priority,not_available
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Semey,semey,Z21,50.43073191532971,80.11867259386585,315382,20,0.0014084993190585987,0.001661842567878649,0.0018648468314092488,0.001661842567878649,0.0004563475123506502,0.2746033355814084,0.5279504096968592,74.102,good,0.74102,0.5,0.5,0.5714351638787437,medium,705,not_priority,not_available
