run_id,model_version,city,city_slug,cell_id,centroid_latitude,centroid_longitude,official_city_total,calibrated_member_count,p10,p50,p90,population_estimate_final,uncertainty_width,relative_uncertainty,model_stability_score,osm_completeness_score,osm_completeness_label,osm_support_score,external_agreement_score,internal_support_score,confidence_score,confidence_band,hotspot_rank,hotspot_priority_class,district_support_flag
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z1,42.32408578828208,69.30593159189651,1298279,20,0.0013965415904532066,0.0015961099713661217,0.0019645934269981653,0.0015961099713661217,0.0005680518365449587,0.35589768044538883,0.0,65.541,moderate,0.6554099999999999,0.5,0.1,0.2788525,low,3072,low_value_high_uncertainty,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z2,42.3278606135072,69.30672232529895,1298279,20,0.0015627642198011457,0.0017692299979658447,0.0019230389463552023,0.0017692299979658447,0.0003602747265540566,0.20363362986625766,0.4099452112676131,65.541,moderate,0.6554099999999999,0.5,0.1,0.44283058450704527,medium,2566,not_priority,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z3,42.33114647292212,69.30750375811941,1298279,20,0.00131082789495818,0.001491184142642285,0.0016238322653528527,0.001491184142642285,0.0003130043703946727,0.20990323156203133,0.3917782291907054,65.541,moderate,0.6554099999999999,0.5,0.1,0.4355637916762821,medium,3530,not_priority,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z4,42.3565946459943,69.30519068462208,1298279,20,0.0016515749475574692,0.001811155908129768,0.002086679725678782,0.001811155908129768,0.00043510477812131257,0.24023595990176766,0.3038852243666249,65.541,moderate,0.6554099999999999,0.5,0.1,0.40040658974665,medium,2487,not_priority,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z5,42.35971651519177,69.30519125478186,1298279,20,0.001430101388800354,0.0015056586307488798,0.001561979128239012,0.0015056586307488798,0.00013187773943865814,0.08758807391358372,0.7462022236577531,65.541,moderate,0.6554099999999999,0.5,0.1,0.5773333894631012,medium,3474,not_priority,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z6,42.36339002082622,69.30582362493774,1298279,20,0.0013107790920540757,0.0013964790844026489,0.0014880120005615074,0.0013964790844026489,0.00017723290850743162,0.12691411599855354,0.6322499286985754,65.541,moderate,0.6554099999999999,0.5,0.1,0.5317524714794302,medium,3899,not_priority,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z7,42.312467218948655,69.31365317136016,1298279,20,0.0014119253764589314,0.0016860166357303317,0.0018856817210751403,0.0016860166357303317,0.0004737563446162089,0.28099150066273926,0.18579077204466066,65.541,moderate,0.6554099999999999,0.5,0.1,0.3531688088178643,low,2763,low_value_high_uncertainty,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z8,42.31461649658908,69.31240460315843,1298279,20,0.0014385028387200504,0.0016952154108523204,0.0018863925105291589,0.0016952154108523204,0.0004478896718091085,0.2642081171170562,0.23442279730869386,65.541,moderate,0.6554099999999999,0.5,0.1,0.37262161892347756,low,2743,low_value_high_uncertainty,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z9,42.31940114505365,69.31309128644115,1298279,20,0.0013109309651683804,0.0013704255793118643,0.001529944585593504,0.0013704255793118643,0.0002190136204251235,0.15981431150394715,0.5369173555821445,65.541,moderate,0.6554099999999999,0.5,0.1,0.4936194422328578,medium,3984,not_priority,mixed
city1_v3_rf500m_e20_20260618T040646Z,city1_v3_rf500m_uncertainty,Shymkent,shymkent,Z10,42.324078807248966,69.31101417124015,1298279,20,0.00131082789495818,0.00145847917014136,0.0016073430637454005,0.00145847917014136,0.00029651516878722044,0.2033043562483524,0.4108993241770369,65.541,moderate,0.6554099999999999,0.5,0.1,0.44321222967081475,medium,3657,not_priority,mixed
