protocol,city,n_cells,spearman_error_vs_uncertainty_width,pearson_error_vs_uncertainty_width,spearman_error_vs_relative_uncertainty,spearman_error_vs_confidence_score,mean_error_high_confidence,mean_error_medium_confidence,mean_error_low_confidence,interpretation_note
locov_like,Almaty,3078,0.7126138103109126,0.3843976928957824,-0.4489333330240734,0.4484769771453594,241.28530026915823,109.31266788097253,14.958096839580096,"Uncertainty width tracks proxy-target error positively, but relative uncertainty and confidence ordering remain mixed."
locov_like,Astana,3473,0.7593906030643832,0.5410697334857267,-0.2202224039750466,0.2208465599172353,72.28613132027264,73.16706542289407,12.579473890303388,"Uncertainty width tracks proxy-target error positively, but relative uncertainty and confidence ordering remain mixed."
locov_like,Semey,1033,0.7429167491406762,0.4930255779564996,-0.3544257852414276,0.3535503201015571,48.74075146212509,46.92873133567728,11.498016532842213,"Uncertainty width tracks proxy-target error positively, but relative uncertainty and confidence ordering remain mixed."
locov_like,Shymkent,4939,0.6887990246551395,0.5348641624492386,-0.387343207271472,0.3870149751266117,61.86121975408671,42.81471924339067,4.223774352722365,"Width/error alignment is present, but the broader confidence story remains mixed."
inference_only_proxy_check,Almaty,3078,0.7492312534918091,0.6565755599185371,-0.3473187149193679,0.3459075502225465,58.56632201977399,30.22503136992719,32.09317343031462,"Uncertainty width tracks proxy-target error positively, but relative uncertainty and confidence ordering remain mixed."
inference_only_proxy_check,Astana,3473,0.776617725649105,0.6157241103949779,-0.0419369585020342,0.0415553679208313,,35.056166968018786,41.649708354714384,"Uncertainty width tracks proxy-target error positively, but relative uncertainty and confidence ordering remain mixed."
inference_only_proxy_check,Semey,1033,0.7519753924104516,0.6021876467914226,-0.3367538781942247,0.3332614877035298,73.73211447654076,21.211558779742678,20.857682307012464,"Uncertainty width tracks proxy-target error positively, but relative uncertainty and confidence ordering remain mixed."
inference_only_proxy_check,Shymkent,4939,0.8859199478350984,0.8258871602877036,-0.420983638433653,0.4205105483319504,,13.07542308338303,9.025122368348194,"Uncertainty width tracks proxy-target error positively, but relative uncertainty and confidence ordering remain mixed."
